,rewards,balloon_number_session,run_num,pop_range_0,pop_range_1,balloon_number,press_time_error,press_time_time,balloon_in_bag,trkp_press_time,key_pressed,log_time,reward_appear_time_time,reward_appear_time_error,rt,grand_total,bag_ID_number,eeg_pulse_time,trial,set_number,pop_status,total,block,balloon_size,log_num,trkp_press_time_error,trkp_press_time_time
0,0.07,0.0,0.0,3.0,3.0,0.0,0.0005065969814950222,773.3858416879584,0.0,,4,773.9358416879584,772.691740793012,0.0,0.6941008949464731,0.99,0.0,,0.0,0.0,not_popped,0.07,0.0,105.0,0.0,,
1,0.1,0.0,0.0,3.0,3.0,0.0,0.0005074281496604272,777.0326858256465,0.0,,4,777.5826858256464,775.342269499066,0.0,1.6904163265804755,0.96,0.0,,1.0,0.0,not_popped,0.17,0.0,110.0,0.0,,
2,0.17,0.0,0.0,3.0,3.0,0.0,0.0004887268665356714,779.6703276852688,0.0,,4,780.2203276852688,778.8930073270242,0.0,0.7773203582446513,0.95,0.0,,2.0,0.0,not_popped,0.34,0.0,115.0,0.0,,
3,0.07,0.0,0.0,3.0,3.0,0.0,0.0004558957249400919,781.4861002366613,0.0,,4,783.2361002366613,781.4184820764132,0.0,0.06761816024811651,0.95,0.0,,3.0,0.0,popped,0.0,0.0,115.0,0.0,,
4,0.09,1.0,0.0,6.0,6.0,1.0,0.0005024411408385276,785.863799662989,0.0,,4,786.4137996629889,785.2942520844312,0.0,0.569547578557831,0.94,1.0,,0.0,0.0,not_popped,0.09,0.0,105.0,0.0,,
5,0.12,1.0,0.0,6.0,6.0,1.0,0.0008469603350249599,789.7338402904877,0.0,,4,790.2838402904877,787.7363997342478,0.0,1.9974405562398942,0.8999999999999999,1.0,,1.0,0.0,not_popped,0.21,0.0,110.0,0.0,,
6,0.06,1.0,0.0,6.0,6.0,1.0,0.0008414192140548948,793.709835877539,0.0,,4,794.259835877539,791.7205496348678,0.0,1.9892862426712554,0.8599999999999999,1.0,,2.0,0.0,not_popped,0.27,0.0,115.0,0.0,,
7,0.09,1.0,0.0,6.0,6.0,1.0,0.0005185103915437139,798.0731501383341,0.0,,4,798.623150138334,795.7630170627737,0.0,2.3101330755604295,0.8099999999999998,1.0,,3.0,0.0,not_popped,0.36,0.0,120.0,0.0,,
8,0.07,1.0,0.0,6.0,6.0,1.0,0.00045520308486857175,800.70607511876,0.0,,1,801.20607511876,799.9805237910798,0.0,0.7255513276802503,1.1599999999999997,1.0,,4.0,0.0,not_popped,0.36,0.0,120.0,0.0,,
9,0.12,2.0,0.0,10.0,10.0,2.0,0.0005297311614640421,803.985707509715,0.0,,4,804.5357075097149,803.2728184745405,0.0,0.7128890351744985,1.1499999999999997,2.0,,0.0,0.0,not_popped,0.12,0.0,105.0,0.0,,
10,0.15,2.0,0.0,10.0,10.0,2.0,0.00046545415858645356,808.9763837425728,0.0,,4,809.5263837425728,805.7649957970598,0.0,3.2113879455130245,1.0799999999999996,2.0,,1.0,0.0,not_popped,0.27,0.0,110.0,0.0,,
