,resp_acc,appearL_time,appearL_error,disappearL,cond_strength,img_R,pair_inds_0,pair_inds_1,lag_L,eeg_pulse_time,lag_R,num_trial,cond_trial,resp_rt,pressed,press_time,press_error,img_L,log_time,resp_correct,appearR_time,appearR_error,disappearR,block,fmri_tr_time,log_num,fmri_tr_time_error,fmri_tr_time_time,press,disappearL_time,disappearL_error,disappearR_time,disappearR_error
0,True,327.3111779924408,0.0,,weak,tasks\AssBind\stim\Acartofgroce3.jpg,22.0,23.0,,,,1.0,new,0.7190445278937432,1,328.0302225203345,0.0005079822617517493,tasks\AssBind\stim\AWEIGHTS8.jpg,329.79817232316725,new,327.3111779924408,0.0,,0.0,,0.0,,,,,,,
1,True,330.7452209217211,0.0,,med,tasks\AssBind\stim\AWOODENF3.jpg,2.0,3.0,,,,2.0,new,0.7494109788445371,1,331.49463190056565,0.0004877571703616468,tasks\AssBind\stim\ABOWLCARV.jpg,333.23726830689805,new,330.7452209217211,0.0,,0.0,,0.0,,,,,,,
2,True,334.13752341816235,0.0,,strong,tasks\AssBind\stim\ABRANCHES.jpg,14.0,15.0,,,,3.0,new,0.9477272815427114,1,335.08525069970506,0.0008350469249762682,tasks\AssBind\stim\22827540.thl.jpg,336.633963474077,new,334.13752341816235,0.0,,0.0,,0.0,,,,,,,
3,True,337.6215622193076,0.0,,med,tasks\AssBind\stim\AWOODENF3.jpg,2.0,3.0,2.0,,2.0,4.0,old 1,0.5585850248990596,4,338.18014724420664,0.000507982261780171,tasks\AssBind\stim\ABOWLCARV.jpg,340.10626353656994,old,337.6215622193076,0.0,,0.0,,0.0,,,,,,,
4,True,340.7722034101167,0.0,,weak,tasks\AssBind\stim\Alogholder.jpg,18.0,19.0,,,,5.0,new,0.6584451670066187,1,341.4306485771233,0.0004855407219963581,tasks\AssBind\stim\ABOX8.jpg,343.2646716437098,new,340.7722034101167,0.0,,0.0,,0.0,,,,,,,
5,True,343.86446889187,0.0,,strong,tasks\AssBind\stim\ABOOK23.jpg,10.0,11.0,,,,6.0,new,0.43216670573161764,1,344.2966355976016,0.0005912376037997547,tasks\AssBind\stim\8063317.thl.jpg,346.36154727648744,new,343.86446889187,0.0,,0.0,,0.0,,,,,,,
6,True,347.19856108171547,0.0,,strong,tasks\AssBind\stim\ABOOK23.jpg,10.0,11.0,1.0,,1.0,7.0,old 1,0.7573350588383505,4,347.9558961405538,0.0004980082440795286,tasks\AssBind\stim\8063317.thl.jpg,349.6877258912386,old,347.19856108171547,0.0,,0.0,,0.0,,,,,,,
7,True,350.6409023937088,0.0,,strong,tasks\AssBind\stim\ABRANCHES.jpg,14.0,15.0,5.0,,5.0,8.0,old 1,0.6695492963053198,4,351.31045169001413,0.0005620081908830343,tasks\AssBind\stim\22827540.thl.jpg,353.1333240725836,old,350.6409023937088,0.0,,0.0,,0.0,,,,,,,
8,True,353.76650076550584,0.0,,med,tasks\AssBind\stim\26421583.thl.jpg,0.0,1.0,,,,9.0,new,0.7180971347418108,1,354.48459790024765,0.0004950991555858764,tasks\AssBind\stim\AHAMPER.jpg,356.25806781430055,new,353.76650076550584,0.0,,0.0,,0.0,,,,,,,
9,True,357.00040339360413,0.0,,med,tasks\AssBind\stim\26421583.thl.jpg,0.0,1.0,1.0,,1.0,10.0,old 1,0.6871857145468994,4,357.68758910815103,0.00045326369252052245,tasks\AssBind\stim\AHAMPER.jpg,359.49815996765966,old,357.00040339360413,0.0,,0.0,,0.0,,,,,,,
